"info-job__text","info-company__text","info-company-addon-type","info-tags__text","info-tags__text 2","info-tags__text 3","info-tags__text 4","info-description","text-highlight","info-othertags__text","info-othertags__text 2","info-othertags__text 4","info-othertags__text 5","last-processed-resume-at-text","date-container","actively-hiring-tag","text-highlight 6","last-cust-reply-text"
"","群健科技股份有限公司","電腦軟體服務業","台北市中山區","3年以上","大學","月薪45,000元以上","職位描述：

我們正在尋找一名具有醫學研究與分析背景的，專注於胰島素阻抗、糖尿病及肥胖相關研究領域。該職位將負責使用先進的分析技術，對療程和病患進行深入分析，以提出改善建議，進而實現精準醫療的目標。候選人需具備強大的統計學知","數據","遠端工作","距捷運行天宮站約460公尺","節日獎金/禮品","津貼/補助","2 天內處理過履歷","4/30","","數據",""
"App 產品   (數數發中心, DDT) (CUBE Reward)_I00016036","國泰金控_國泰金融控股股份有限公司","金融控股業","台北市信義區","經歷不拘","學歷不拘","待遇面議","1. 負責 App 追蹤碼的埋設、維護與優化，並利用 Adobe Analytics、Google Analytics 等工具進行分析。
2. 深入了解使用者行為，分析 App 使用流程，並提出優化建議，提升使用者體驗。
3. 協同產品經","數據","上市上櫃","年終獎金","津貼/補助","分紅配股","1 天內處理過履歷","5/02","","",""
"(台中廠)","漢鐘精機股份有限公司","通用機械設備製造修配業","台中市南屯區","2年以上","大學","待遇面議","我們正在尋找分析能力工程師，與我們一起發掘的價值，推動公司業務增長。

工作內容
1.工廠、業務收集與分析，提供可行性建議。
2.進行分析及建模工作，設計、執行各項實驗並追蹤後續實驗成效
3.協助團隊彙整、分析與定期產出各類型","數據","年終獎金","節日獎金/禮品","停車位","子女教育獎助學金","6 小時前處理過履歷","4/28","積極徵才中","數據",""
"","博凡星國際有限公司","網際網路相關業","台中市西屯區","2年以上","大學","待遇面議","工作內容
１. 彙整內外部資料，洞察資料價值。
２. 監控質量與模型，調整並改進分析流程。
３. 分析
      -對進行分析，發現模式，趨勢和相關性。
      -創建可視化報表，以協助管理層利用與分析。
４. 回饋","數據","年終獎金","節日獎金/禮品","彈性上下班","員工旅遊","","4/29","積極徵才中","數據","6 天內聯絡過求職者"
"【展店擴編】整合企劃部-商業","王品餐飲股份有限公司","餐館業","台中市西區","5年以上","大學","待遇面議","王品集團 誠徵【整合企劃部-商業】

工作內容：
1.與市場行銷部門密切合作，分析品牌商業問題並提出改善方案，運用分析與跨部門協作實現年度目標。
2.掌握商業與數位分析趨勢，負責會員分群、需求偏好挖掘與行銷洞察，推動創新商業模式發展","數據分析師","年終獎金","節日獎金/禮品","優於勞基法特休","子女教育獎助學金","2 天內處理過履歷","4/28","","",""
"（可外包）","臺北市私立陳蒂國文文理短期補習班","補習班","台北市中正區","經歷不拘","學歷不拘","時薪200~1,000元","工作內容
1.熟悉GA4、GTM、Meta等事件追蹤、轉換設定。
2.透過GA4、廣告後台、系統後台等，製作分析報告。
3.將轉換為易於理解的圖像化報表與簡報。
4.數位廣告操作經驗（Google Ads、Meta Ads等）。","數據","遠端工作","距捷運古亭站約180公尺","節日獎金/禮品","分紅配股","2 天內處理過履歷","5/02","","數據",""
"","艾捷科技有限公司","電腦系統整合服務業","台中市南屯區","1年以上","大學","待遇面議","應用，執行產品推薦、自動化導入或實作
4.其他主管交辦任務。

是當前最熱門、最具發展前景的職業之一，因為企業對大的需求越來越高。作為一個，你將成為企業決策的重要支持者，通過深入分析和挖掘，幫助企業制定更科學、更有效的","數據","距捷運文心森林公園站約350公尺","節日獎金/禮品","彈性上下班","家庭日","2 天內處理過履歷","4/24","","數據",""
"","希梅格傑西有限公司","電腦軟體服務業","台北市中山區","經歷不拘","學歷不拘","月薪40,000~80,000元","，優化遊戲與廣告成效
2. 精通數學與邏輯分析，能夠建構模型，預測用戶行為與 LTV。
3. 能夠以為核心驅動決策，並與產品、行銷、開發團隊協作，提出策略建議。
4. 能夠處理大量用戶行為並進行特徵提取
5. 具備統計學概念，能夠應用假","數據","距捷運松江南京站約390公尺","年終獎金","津貼/補助","分紅配股","7 小時前處理過履歷","4/20","","數據",""
"- B216","精誠資訊股份有限公司","電腦系統整合服務業","台北市內湖區","2年以上","大學","待遇面議","1.使用者報表需求溝通與分析
2.資料邏輯分析
3.資料源與資料流架構設計
4.會需要日本出差
5.有以下技術與經驗有的話尤佳
Azure Data Factory、Synapse SQL、Azure Storage","","上市上櫃","距捷運港墘站約450公尺","節日獎金/禮品","津貼/補助","2 天內處理過履歷","4/28","","",""
"","創新交通科技有限公司","工商顧問服務業","新竹市","經歷不拘","大學","月薪35,000~45,000元","分析、協助專案管理、行政支援","數據","年終獎金","節日獎金/禮品","部門聚餐","","4 天內處理過履歷","4/08","","",""
"【行銷業務部】-營運及行銷傾向**","旋音電子股份有限公司","電子通訊／電腦週邊零售業","台北市中山區","經歷不拘","專科","月薪35,000~60,000元","負責從大量中提取有價值的洞察，協助企業制定決策、優化流程或解決業務問題。需具備處理、統計分析及可視化能力，並能將複雜的結果轉化為易懂的商業建議。

一、主要工作職責
從本公司現有營運及google ADS後台等來源提","數據分析師","距捷運中山站約380公尺","年終獎金","津貼/補助","分紅配股","","5/02","","數據",""
"( )【科學部】","奧藝數位行銷有限公司","廣告行銷公關業","台北市內湖區","3年以上","大學","待遇面議","如果你對行銷和經營策略有興趣，經常關注時事，喜歡把數字轉化成各種圖表，而且自認邏輯清晰，那你很可能就是我們正在尋找的夥伴。

工作內容：

1. 研究和分析產業
2. 撰寫產業洞察報告
3. 使用大分析系統進行消費者行為分析
4. 執行客","數據","年終獎金","節日獎金/禮品","優於勞基法特休","不扣薪病/事假","6 小時前處理過履歷","4/28","","",""
"【營收行銷】 商業 - 每週三天遠端辦公","厝味旅宿管理顧問股份有限公司","旅館業","台北市中正區","1年以上","大學","月薪40,000~55,000元","＊＊請注意！此職缺在板橋區！！！＊＊

【 工作內容 】
日常任務：
1. 蒐集、整理與分析內外部，從各種面向(如：客群、競爭力、各區淡旺季等)切入，分析物件定位與價格。
2. 持續調整優化現有的""自動調價系統""，確保全台各物件每月達標營收","數據","遠端工作","年終獎金","津貼/補助","彈性上下班","","4/29","積極徵才中","","2 天內聯絡過求職者"
"【ADB 數位行銷】行銷","ADBest_帆晴股份有限公司","網際網路相關業","台北市大安區","1年以上","專科","月薪40,000~50,000元","Looker Studio，能夠建立自動化客製視覺化報告，包括關鍵績效指標(KPI)、各渠道詳細、行銷漏斗、RFM模型等。

4.瞭解Ahrefs、SimilarWeb等工具，進行深入的市場分析、競爭分析和產業研究，掌握品牌機遇、市場趨勢。

5.溝","數據","距捷運忠孝復興站約150公尺","年終獎金","津貼/補助","分紅配股","2 天內處理過履歷","4/30","","",""
"【南】Senior  ｜（完全遠端）","大門科技顧問有限公司","電腦軟體服務業","高雄市苓雅區","5年以上","大學","待遇面議","各種未知問題。

【工作內容】
1、搭建指標體系和分析體系。
2、理解業務需求，獨立提出並設計分析方案，支持各業務部門的需求落地。
3、使用SQL或BI工具進行提取、清洗和分析，確保質量和準確性。
4、建立並維護常規報表和自定義報表","數據","遠端工作","年終獎金","津貼/補助","優於勞基法特休","","5/01","","數據",""
"","全台物流股份有限公司","儲配／運輸物流業","新北市林口區","經歷不拘","大學","月薪34,000~40,500元","❤【工作內容】
(1)以開源程式語言(Python，SQL)方式協助開發內部分析專案
(2)以現有視覺化軟體協助進行分析，視覺化呈現
(3)新科技，新技術調研
(4)其他主管交辦事項

❤【我們需要這樣的您】
(1)對於科技數位化、大","數據","節日獎金/禮品","津貼/補助","子女教育獎助學金","家庭日","1 天內處理過履歷","5/02","","數據",""
"產險-行銷(總公司)","富邦產物保險股份有限公司","金融控股業","台北市中山區","2年以上","大學","月薪33,000~55,000元","1. 熟悉SQL語法、Python、SAS等分析工具，能獨立進行分析工作，洞察分析結果並能提供行銷策略建議。
2.熟悉RFM、K-means等客戶分群技術，並持續追蹤、優化分群結果與經營成效。
3. 共同負責與金控團隊之專案合作，導入","數據","年終獎金","節日獎金/禮品","分紅配股","停車位","2 天內處理過履歷","4/28","積極徵才中","數據",""
"【外商】金融產品","烽泰科技有限公司","其他金融及輔助業","台北市大同區","1年以上","大學","待遇面議","丨此職務另有KPI獎金丨

【你需要做什麼？】
1. 開發與維護抓取腳本與ETL流程，實現自動化處理，負責的抓取、清洗、轉換及分析工作。
2. 使用Power BI製作專案視覺化報表，有效追蹤及監測專案成效，支持產品化規劃與知識提煉。","數據","外商公司","距捷運中山站約40公尺","節日獎金/禮品","津貼/補助","","4/28","積極徵才中","數據","2 天內聯絡過求職者"
"","欒軒管理顧問有限公司","工商顧問服務業","台北市松山區","3年以上","大學","月薪50,000元以上","The successful candidate will turn data into information, information into insight and insight into business decisions. You will be working closely with various teams across the business to assist them in building reports & dashboards, and to provide them with insights about trends and patterns that facilitate decision making and through which they will be able to enhance performance. Being self-driven and independent will enable you to achieve results, whilst having great communication and relationship building skills will help you to thrive in a diverse team environment.

Responsibilities
1. Interpret data, analyze results using statistical techniques and provide ongoing reports
2. Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
3. Acquire data from primary or secondary data sources and maintain databases/data systems
4. Develop and manage reporting dashboards
5. Identify, analyze, and interpret trends or patterns in complex data sets
6. Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
7. Work with management to prioritize business and information needs
Locate and define new process improvement opportunities","","距捷運中山國中站約500公尺","年終獎金","津貼/補助","優於勞基法特休","5 天內處理過履歷","4/07","","",""
"","麥司騛科技有限公司","電腦軟體服務業","台北市信義區","3年以上","大學","待遇面議","★工作內容：
具體職責： 
1. 支持運營的常規分析，例如用戶渠道分析、活動審查 
2. 支持電話銷售的常規需求，例如用戶畫像、潛在客戶名單 
3. 支持市場營銷成本和ROI分析，通過指出哪個渠道表現較好或較差 
4. 支持產品功","數據","年終獎金","節日獎金/禮品","分紅配股","不用補班","2 天內處理過履歷","4/29","積極徵才中","數據",""
"工研院材化所_材料化工領域/資料科學家(X200)","工研院 _財團法人工業技術研究院","其他專業／科學及技術業","新竹縣竹東鎮","經歷不拘","碩士","待遇面議","【工作內容】
1.材料化學領域產業分析
2.材料化學領域清整分析，彙整結果並分析原因，撰寫執行與建議報告書與分析模型建置
3.規劃、執行與管理材料化學領域分析相關之研究計畫
4.研究計畫提案與相關研究成果服務推廣與廠商訪視","數據","年終獎金","節日獎金/禮品","優於勞基法特休","彈性上下班","1 天內處理過履歷","4/28","","數據",""
"-政金部(PS170)","資拓宏宇國際股份有限公司","電腦軟體服務業","新北市板橋區","2年以上","大學","待遇面議","1.良好之溝通能力與抗壓性，能夠將技術分析結果轉化為業務語言與客戶說明。並依客戶需求彙整資料，編寫清晰的分析報告
2.使用SQL從資料庫中提取所需，使用視覺化工具（如Tableau、Power BI等）創建直觀的儀表板和報告
3.使用","數據","距捷運板橋站約160公尺","年終獎金","津貼/補助","生日假","","4/29","","數據","4 天內聯絡過求職者"
"EIS| (金融)","殷富資訊股份有限公司","電腦系統整合服務業","台北市松山區","3年以上","專科","待遇面議","▍工作內容： 
1. 設計並開發處理工具與自動化流程，提升分析效率。 
2. 結合分析與技術開發能力，建立金融儲存和分析架構。
3. 分析與處理大量金融相關，規劃生成式AI平台的模型訓練與優化。 
4. 與產品、科學及","數據","距捷運台北小巨蛋站約410公尺","年終獎金","津貼/補助","員工旅遊","","4/28","","數據",""
"","TVBS_聯利媒體股份有限公司","電視業","台北市內湖區","經歷不拘","大學","待遇面議","【職位概述】
我們的分析團隊隸屬於資料平台部門，有非常多元豐富的樣態，在過去數年也建立了堅實的基礎。團隊主要為產品部門提供多元化的分析，協助公司和產品在各方面做出正確決策，並推動自助式分析，賦能不同職能團隊建立報表與儀表板。我","數據","遠端工作","距捷運西湖站約280公尺","節日獎金/禮品","津貼/補助","2 天內處理過履歷","4/28","積極徵才中","數據",""
"數位科技處-","永豐商業銀行股份有限公司","銀行業","台北市中山區","2年以上","大學","待遇面議","1. 分析業務需求，撰寫規格文件，提出報表開發流程解決方案。
2. 監管視覺化分析平台，設計儀表板報表。
3. 運用內外部資料庫進行各類商業分析，提供做為決策支援。","數據","年終獎金","節日獎金/禮品","分紅配股","不扣薪病/事假","14 小時前處理過履歷","4/29","積極徵才中","",""
"行銷部-CRM","全聯福利中心_全聯實業股份有限公司","量販流通相關業","台北市中山區","1年以上","大學","待遇面議","單位共同營運管理，確保質量及Data pipeline運行。
－建立機器學習模型以提高會員經營成效。
－定期產出會員與銷售分析報表。

【誰適合擔任CRM？】
－有相關領域的學學位，如、統計、數學、資料科學等。 
－至少一年","數據","距捷運劍南路站約490公尺","年終獎金","津貼/補助","子女教育獎助學金","1 天內處理過履歷","4/29","積極徵才中","數據",""
"【外商】  (Mid to Sr. Level) () #Fintech #MySQL #3年以上相關經驗者","海科科技有限公司","其它軟體及網路相關業","台北市中山區","3年以上","大學","待遇面議",".
(作為 Hytech 的，您將負責分析金融交易平台上的用戶行為，專注於應用程式用戶增長過程，包括轉化與留存指標。您將運用洞察優化平台渠道，例如透過推播通知，提升用戶參與度，並促使一般用戶轉化為活躍交易者) 

【身為團隊的一份子您","數據分析師","外商公司","距捷運南京復興站約230公尺","節日獎金/禮品","津貼/補助","4 天內處理過履歷","4/28","積極徵才中","",""
"(學士)","弈樂科技股份有限公司","網際網路相關業","台中市西屯區","經歷不拘","大學","月薪35,000~60,000元","***應徵時請附上作品集、文案、自傳、證照等加分文件***
1.	需求分析及規劃資料萃取、資料清理 
2.	分析、資訊視覺化、說明分析結果、提出建議及後續成效評估 
3.	蒐集競業資訊、報表整理

※工作待遇依個人經歷及專長等條件參考核定，如","數據","節日獎金/禮品","津貼/補助","停車位","員工旅遊","4 天內處理過履歷","4/28","","",""
"Garena - Senior   資深","Garena_新加坡商競舞電競有限公司臺灣分公司","網際網路相關業","台北市信義區","3年以上","大學","待遇面議","/
我們的 Data 團隊處理 PB 級的量，讓你能在工作中累積處理海量資料的實務經驗。同時，團隊也不斷追逐前沿技術，適合喜歡挑戰新技術並追求匠人精神的你！

\ 揪團打 game 不寂寞！ /
這支勁旅充滿熱愛遊戲的夥伴，大家會分享最新最流","數據","外商公司","距捷運市政府站約210公尺","津貼/補助","優於勞基法特休","","4/30","","","2 天內聯絡過求職者"
"-","塶樂微創有限公司","電腦軟體服務業","台中市西屯區","1年以上","碩士","待遇面議","資料ETL流程(資料萃取、資料轉置、資料清理)，應用SQL 查詢資料
- 與需求端溝通，共同研究開發分析指標與方法
- 熱愛學習新事物，優化工作流程

必要條件：
- Power BI、Python、RDBMS使用經驗
- 1年以上分析(Big","數據","年終獎金","節日獎金/禮品","停車位","免費下午茶","","5/03","積極徵才中","","2 天內聯絡過求職者"
"<擴編>遊戲平台-","谷戈耳科技有限公司","網際網路相關業","台北市中正區","經歷不拘","專科","月薪40,000~60,000元","【我們需要你做什麼】
1.負責收集、清理、管理平台內外部，確保資料完整與正確，打造可供分析使用的集

2.監控質量與資料庫模型，持續優化處理流程

3.分析玩家行為（活躍、留存、付費）、市場活動成效及用戶來源渠道

4.以支持","數據","遠端工作","年終獎金","津貼/補助","免費下午茶","4 天內處理過履歷","4/28","積極徵才中","數據",""
"IT大","英屬維京群島商大昇有限公司台灣分公司","綜合商品批發代理業","台中市北區","1年以上","大學","待遇面議","1.進行調查的彙整，分析調查與繪製統計圖表，並撰寫分析建議報告。
2.依據分析需求，進行資料分析與邏輯運算作業。
3.分析企業統計（如：營業額、銷售量、客戶數、成本等，預測與追蹤市場和銷售的趨勢）。
4.視覺化報表產","數據","年終獎金","津貼/補助","員工宿舍","交通補助","","4/25","積極徵才中","數據","5 天內聯絡過求職者"
"【海外通路】(外派)  _I00015658","國泰世華商業銀行股份有限公司","銀行業","越南","2年以上","學歷不拘","待遇面議","與特色，期待透過多元團隊創造金融服務更多前所未有的可能。

我們是台灣數位金融的領導品牌，為了進一步拓展東南亞市場，現正積極尋找 具邏輯思考能力的加入我們的團隊！
這個職位將會扮演重要角色，致力於風險分析或數位分析。

【發展與培訓","數據分析師","年終獎金","節日獎金/禮品","員工旅遊","社團活動","5 天內處理過履歷","4/29","","",""
"(碩士)","弈樂科技股份有限公司","網際網路相關業","台中市西屯區","經歷不拘","碩士","月薪44,000~69,000元","***應徵時請附上作品集、文案、自傳、證照等加分文件***
1.	需求分析及規劃資料萃取、資料清理 
2.	分析、資訊視覺化、說明分析結果、提出建議及後續成效評估 
3.	蒐集競業資訊、報表整理

※工作待遇依個人經歷及專長等條件參考核定，如","數據","節日獎金/禮品","津貼/補助","停車位","員工旅遊","","4/28","","","6 天內聯絡過求職者"
"資深 【ETL/高雄 】","邁達特數位股份有限公司","電腦軟體服務業","高雄市左營區","3年以上","專科","待遇面議","1.收集、盤點與管理。
2.ETL開發、測試與維護。
3.利用ETL工具或T-SQL或Stored Procedure開發。
4.因應客戶需求進行資料倉儲/資料超市設計與規劃。","數據","上市上櫃","年終獎金","津貼/補助","新人假","1 天內處理過履歷","4/28","","",""
"智慧農業","威果農業股份有限公司","量販流通相關業","台南市麻豆區","2年以上","專科","月薪46,000元以上","用驅動農業革命，打造「農業自動駕駛」系統！
我們正建立全球化的智慧農業決策系統，你需要：

1. 建模：
-透過環境參數（光照/水質/氣候/土壤）與植物生長量化指標的關聯分析，建立關鍵影響因子模型
-設計DOE實驗驗證假設，並將結果轉化為","數據","遠端工作","節日獎金/禮品","員工旅遊","免費下午茶","","4/29","積極徵才中","","7 小時前聯絡過求職者"
"【顧問部】顧問師/高級顧問師 (AI)-317317","KPMG_安侯建業聯合會計師事務所","會計服務業","台北市信義區","2年以上","大學","待遇面議","KPMG Global Digital Village為數位轉型的領導顧問公司，我們正在找尋一位熱情、技術優秀的加入我們的團隊。作為，您將負責分析大量的，並從中提取有價值的洞察。您也需要與客戶進行訪談及互動，以了解業務需求","數據分析師","距捷運台北101/世貿站約220公尺","年終獎金","優於勞基法特休","彈性上下班","","5/02","","數據",""
"【台北總部】雲端(數位資訊部)","淨妍醫美集團_淨妍生物科技股份有限公司","藥品／化妝品及清潔用品批發業","台北市中山區","3年以上","大學","待遇面議","我們正在尋找一位經驗豐富的雲端工程師，歡迎加入我們的團隊

工作內容
1. 負責設計、實施和優化雲端(AWS、GCP、Azure)上的處理(ETL/ELT)架構，確保的可用性、可擴展性及安全性。
2. 維護和管理公司平台，確保準確","數據","距捷運松江南京站約290公尺","年終獎金","津貼/補助","員工旅遊","3 天內處理過履歷","4/30","","數據",""
"大","YCM Products CO., LTD._優克美科技股份有限公司","綜合商品批發代理業","彰化縣彰化市","1年以上","專科","月薪30,000~35,000元","1.彙整、分析與定期產出各類型的監測資料或報告 。
2.預處理、特徵工程、模型選擇/融合、模型訓練/測試、問題分析及解決、模型評估的程式開發。
3.機器學習、深度學習或其他相關演算法開發
4.與機器學習模型可視化處理
5.修改、維護上","數據","節日獎金/禮品","津貼/補助","免費下午茶","部門聚餐","8 小時前處理過履歷","4/24","","數據",""
"資深商業 Senior Data Scientist","Cooler Master_訊凱國際股份有限公司","電腦及其週邊設備製造業","台北市內湖區","3年以上","大學","待遇面議","1. 發現問題、發揮資料價值為導向，能深入理解內部需求與痛點，確定問題與目標，並給予有效的解決方案。
2. IT BI team的推動與協調工作 
3. 負責設定公司BI系統(SAP BW/FineReport/FineBI/SAC/","數據","年終獎金","節日獎金/禮品","停車位","員工旅遊","2 天內處理過履歷","4/28","","",""
"【專業支援】商業_I00016175","國泰世華商業銀行股份有限公司","銀行業","台北市信義區","3年以上","學歷不拘","待遇面議","■ 與業務單位密切合作，釐清商業問題並提出改善規劃，運用分析方法與跨單位協作以達成年度目標。			
■ 掌握商業與數位分析趨勢，提出並落實客戶分群與挖掘需求偏好、興趣、行銷等分析洞察，發展新商業模式。			
■ 透過客戶多樣的的行內外，以","數據","年終獎金","節日獎金/禮品","員工旅遊","社團活動","15 小時前處理過履歷","4/29","積極徵才中","",""
"元大證券-數位金融部-","元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行)","金融控股業","台北市中山區","2年以上","大學","月薪35,000~45,000元","1.金融商品及平台用戶分析，清理、建模、訓練、優化
2.協助業務單位專案需求，提供視覺化分析成果
3.協助行銷團隊廣告投放，反應市場變化提升商業效益
4.日常核心業務SQL資料庫查詢，執行相關統計運算
5.其他主管交辦事項","數據","上市上櫃","距捷運松江南京站約200公尺","津貼/補助","員工優惠","2 天內處理過履歷","3/04","積極徵才中","",""
"[海外通路] -東南亞金融科技發展（數數發中心, DDT）_I00014594","國泰金控_國泰金融控股股份有限公司","金融控股業","台北市信義區","3年以上","大學","待遇面議","國泰金控在東南亞佈局首重對當地市場脈動的掌握，並以賦能推動當地數位基礎建設以優化營運流程，同時因地制宜打造具彈性與效率的數位金融服務。期許嚮往東南亞金融科技市場的你，一起加入具發展性的舞台！
我們在海外創建資訊樞紐與技術輸出總部，擁有完善且舒","數據","上市上櫃","年終獎金","津貼/補助","分紅配股","4 天內處理過履歷","4/30","","",""
"氣象/資料科學家","安瑟樂威股份有限公司","電腦軟體服務業","台北市中正區","經歷不拘","大學","待遇面議","合作與科學家、及其他相關團隊合作
7. 持續研究、學習新技術，提供更好的解決方案

資料工程師在現今數位化時代扮演著重要的角色，負責設計、開發、建置企業級大平臺、資料倉儲及相關服務，為企業提供更好的資料分析與應用解決方案。這個職位","數據","距捷運忠孝新生站約40公尺","年終獎金","專業證照獎金","團體保險","13 小時前處理過履歷","4/28","積極徵才中","數據",""
